type,phone,F1_25,F1_75,F2_25,F2_75,F3_25,F3_75,B1_25,B1_75,B2_25,B2_75,B3_25,B3_75
matrix,ə,20999.3541869123,474.250736316474,13946.9209811573,6809.83189807686,20294.7465401847,4730.46809295279,74742.7741140531,15180.3950742795,17885.571825118,9930.41002237605,17768.9296400397,5763.27754521307
matrix,ə,12221.1369872571,8260.35601835932,5251.91188621606,-2053.00197347766,8798.20609385979,2263.85215861577,15180.3950742795,31405.1743487773,11479.7513069306,8830.12292373705,7813.81113420146,4272.9709809081
matrix,ə,22580.8193071897,3661.30125435436,26350.9094991055,7483.75706290709,22318.8437215004,6158.15101589248,17885.571825118,11479.7513069306,48192.6755772173,28584.3143809709,26820.6073078476,13370.2964552155
matrix,ə,7658.58980320042,5238.62261724999,15430.3780007077,10042.6424541889,13377.1439666901,6047.73555897758,9930.41002237605,8830.12292373705,28584.3143809709,88742.2509630671,15065.1770124738,20998.9467634468
matrix,ə,19302.7434952482,4736.02015339304,28363.3397321851,13312.5638589462,17178.1795789914,6474.66539088313,17768.9296400397,7813.81113420146,26820.6073078476,15065.1770124738,110171.656557577,28117.234866267
matrix,ə,7993.11903409232,414.904072041902,9678.29397341785,14022.6233622876,10153.6630810172,4130.62659909001,5763.27754521307,4272.9709809081,13370.2964552155,20998.9467634468,28117.234866267,96848.0049959883
matrix,əw,12950.1542553191,3934.98936170213,6265.21010638298,-1821.42553191489,13794.5372340426,2989.14361702128,9199.72872340426,1932.28723404255,3707.29521276596,-2007.48404255319,4274.59574468085,-1064.23936170213
matrix,əw,3934.98936170213,4862.70212765957,-2625.46276595745,-2931.89361702128,3757.43617021277,4691.32978723404,4920.90425531915,1772.93617021277,629.579787234043,849.81914893617,886.021276595745,665.351063829787
matrix,əw,6265.21010638298,-2625.46276595745,47731.272606383,25730.914893617,10923.3590425532,-8633.79521276596,-3902.23670212766,-68.5691489361702,4311.25132978723,-5661.23670212766,1958.14893617021,-2239.36968085106
matrix,əw,-1821.42553191489,-2931.89361702128,25730.914893617,49504.695035461,2155.68794326241,-7624.11347517731,-1575.93617021277,185.950354609929,-2348.85815602837,-1821.60992907801,-6012.14893617021,-2665.87943262411
matrix,əw,13794.5372340426,3757.43617021277,10923.3590425532,2155.68794326241,31511.1046099291,8165.85283687943,8567.53723404255,2463.82624113475,4878.17464539007,-5820.55496453901,5863.17021276596,1235.1719858156
matrix,əw,2989.14361702128,4691.32978723404,-8633.79521276596,-7624.11347517731,8165.85283687943,20379.5726950355,3560.10106382979,1452.21631205674,-537.632092198582,-1362.65780141844,1437.31914893617,6577.53014184397
matrix,əw,9199.72872340426,4920.90425531915,-3902.23670212766,-1575.93617021277,8567.53723404255,3560.10106382979,28577.4734042553,5314.07446808511,3106.95478723404,937.11170212766,-2930.36170212766,1893.50531914894
matrix,əw,1932.28723404255,1772.93617021277,-68.5691489361702,185.950354609929,2463.82624113475,1452.21631205674,5314.07446808511,14704.6737588652,617.189716312057,-1211.98226950355,-1637.34042553191,1261.7695035461
matrix,əw,3707.29521276596,629.579787234043,4311.25132978723,-2348.85815602837,4878.17464539007,-537.632092198582,3106.95478723404,617.189716312057,5659.66976950355,-1219.5274822695,3569.91489361702,-715.866134751773
matrix,əw,-2007.48404255319,849.81914893617,-5661.23670212766,-1821.60992907801,-5820.55496453901,-1362.65780141844,937.11170212766,-1211.98226950355,-1219.5274822695,14147.1046099291,-1606.29787234043,3752.64007092199
matrix,əw,4274.59574468085,886.021276595745,1958.14893617021,-6012.14893617021,5863.17021276596,1437.31914893617,-2930.36170212766,-1637.34042553191,3569.91489361702,-1606.29787234043,18842.8510638298,2202.91489361702
matrix,əw,-1064.23936170213,665.351063829787,-2239.36968085106,-2665.87943262411,1235.1719858156,6577.53014184397,1893.50531914894,1261.7695035461,-715.866134751773,3752.64007092199,2202.91489361702,13672.5514184397
matrix,æ,46537.7885703436,38109.8208088096,-1360.60159483577,-3127.67533700399,9890.96092652364,10338.543763053,10819.3395101576,8865.08642490982,4238.04097209037,7242.55481298652,7759.61093601671,16432.4970571483
matrix,æ,38109.8208088096,52719.9031896715,-5394.99227264097,-6230.25897095121,9002.77731156256,12085.415037023,894.255002847921,8169.6221947978,-1097.70582874502,6549.18560850579,11236.0672868806,10888.7539396241
matrix,æ,-1360.60159483577,-5394.99227264097,33248.2682551737,21881.7524207329,5376.23404214923,4098.72906778052,441.747617239415,-688.492937155876,5495.11805581925,3525.25805961648,9066.3842415037,7105.60850579077
matrix,æ,-3127.67533700399,-6230.25897095121,21881.7524207329,24044.4412378963,1232.90810708183,3617.14220618948,-2413.23125118663,-2527.40972090374,983.420732865009,2368.15701537877,6489.72451110689,7116.43876969812
matrix,æ,9890.96092652364,9002.77731156256,5376.23404214923,1232.90810708183,27485.8853426998,13219.2071387887,4187.66225555345,4073.25993924435,-684.810252515664,1709.83075754699,-9572.88258970951,6704.46952724511
matrix,æ,10338.543763053,12085.415037023,4098.72906778052,3617.14220618948,13219.2071387887,37806.9185494589,-1021.37307765331,5629.43782039111,-1708.04138978546,-17553.0592367572,14323.5452819442,-6277.54490222138
matrix,æ,10819.3395101576,894.255002847921,441.747617239415,-2413.23125118663,4187.66225555345,-1021.37307765331,57281.9901461933,14637.23089045,8915.11418264667,1488.66443895956,19804.7847731156,12336.5828745016
matrix,æ,8865.08642490982,8169.6221947978,-688.492937155876,-2527.40972090374,4073.25993924435,5629.43782039111,14637.23089045,22829.6392823239,252.26284412379,2575.7031706854,227.394987659009,5027.94721853047
matrix,æ,4238.04097209037,-1097.70582874502,5495.11805581925,983.420732865009,-684.810252515664,-1708.04138978546,8915.11418264667,252.26284412379,25023.1876969812,3714.50852477691,8459.35591418265,1210.71976457186
matrix,æ,7242.55481298652,6549.18560850579,3525.25805961648,2368.15701537877,1709.83075754699,-17553.0592367572,1488.66443895956,2575.7031706854,3714.50852477691,53996.3067400797,-1970.59438010253,23576.1245490792
matrix,æ,7759.61093601671,11236.0672868806,9066.3842415037,6489.72451110689,-9572.88258970951,14323.5452819442,19804.7847731156,227.394987659009,8459.35591418265,-1970.59438010253,242209.403379533,12120.5853426998
matrix,æ,16432.4970571483,10888.7539396241,7105.60850579077,7116.43876969812,6704.46952724511,-6277.54490222138,12336.5828745016,5027.94721853047,1210.71976457186,23576.1245490792,12120.5853426998,320737.057907727
matrix,ɛ,18620.7371631721,9693.34218074577,-1000.76033208096,2.56692118127096,4717.88694299681,4076.86371348927,6687.93344241102,4961.78954066174,1274.04767098938,1157.31521431746,3552.90098169919,13046.6233991839
matrix,ɛ,9693.34218074577,14274.9988284248,1523.02250232295,265.243061447097,2923.52605744758,5482.88692279724,1238.25281784026,5103.93475538319,-954.266997939644,-1620.24960610835,-650.323738536743,5380.49937381328
matrix,ɛ,-1000.76033208096,1523.02250232295,47902.5215125439,33615.2746939765,13805.4650345413,12887.5578515735,-5895.05730618511,-4302.41988849836,-1211.89043752272,-2352.29562073284,16235.1103704601,-9114.35112915606
matrix,ɛ,2.56692118127096,265.243061447097,33615.2746939765,37249.3596331758,6740.79792348402,12824.119763261,-428.114854765079,-1440.6033208096,-533.905829596413,-5071.22364965863,9745.49333414132,-10133.5160182604
matrix,ɛ,4717.88694299681,2923.52605744758,13805.4650345413,6740.79792348402,33742.456793116,19229.9840827374,882.753807619279,1248.42643315962,-3344.24550559528,-6000.77087625742,-5448.82834403911,2253.40255726579
matrix,ɛ,4076.86371348927,5482.88692279724,12887.5578515735,12824.119763261,19229.9840827374,28843.2945501555,1208.86664242718,128.036258231325,-2714.60618914879,-13553.6416191977,3571.30879085363,-5846.87777239123
matrix,ɛ,6687.93344241102,1238.25281784026,-5895.05730618511,-428.114854765079,882.753807619279,1208.86664242718,30185.4604290389,11920.2388599362,3433.41423261827,145.998101240254,-1197.65343594716,-2243.5062214681
matrix,ɛ,4961.78954066174,5103.93475538319,-4302.41988849836,-1440.6033208096,1248.42643315962,128.036258231325,11920.2388599362,27508.3277178524,894.098513311518,6090.73512301539,-1074.58899931321,2556.44742051469
matrix,ɛ,1274.04767098938,-954.266997939644,-1211.89043752272,-533.905829596413,-3344.24550559528,-2714.60618914879,3433.41423261827,894.098513311518,9867.34997778047,6798.4401082697,10263.4353007716,1983.30634670545
matrix,ɛ,1157.31521431746,-1620.24960610835,-2352.29562073284,-5071.22364965863,-6000.77087625742,-13553.6416191977,145.998101240254,6090.73512301539,6798.4401082697,36874.4965862724,9971.27119945057,5356.1871086333
matrix,ɛ,3552.90098169919,-650.323738536743,16235.1103704601,9745.49333414132,-5448.82834403911,3571.30879085363,-1197.65343594716,-1074.58899931321,10263.4353007716,9971.27119945057,141345.718175575,7860.5836464267
matrix,ɛ,13046.6233991839,5380.49937381328,-9114.35112915606,-10133.5160182604,2253.40255726579,-5846.87777239123,-2243.5062214681,2556.44742051469,1983.30634670545,5356.1871086333,7860.5836464267,90739.7140952612
matrix,ɪ,49853.0607122399,10733.5325283996,18539.1807492877,2665.40065168389,28816.2625817395,9005.96345065131,26879.7164840315,11264.9412368603,17366.9633539402,3385.86470119996,36225.1102803877,5747.50596261001
matrix,ɪ,10733.5325283996,18519.0146628875,-1707.94842323744,3764.3525118843,2894.34030397036,6806.53425804004,3878.86335840382,6281.12735733256,2686.41559354565,5102.37447273863,7548.42793536724,5057.41457807932
matrix,ɪ,18539.1807492877,-1707.94842323744,83072.9579827557,55733.0421251144,46330.667942509,24684.9628480669,4619.05975628808,1647.75189144553,5091.89767223871,1195.99469204961,31877.1822445898,746.718518683837
matrix,ɪ,2665.40065168389,3764.3525118843,55733.0421251144,77954.9958488629,23164.3628004553,25584.3012810498,-1506.67481643493,-1116.35954203584,9351.45739504988,1149.77028142924,9324.63674202692,6629.19365277747
matrix,ɪ,28816.2625817395,2894.34030397036,46330.667942509,23164.3628004553,78952.1995223961,41133.9734751267,21863.1830517553,10305.0496797375,6739.21303590957,795.101133751423,36283.4802486219,5414.0287901444
matrix,ɪ,9005.96345065131,6806.53425804004,24684.9628480669,25584.3012810498,41133.9734751267,47804.0913994093,11153.4287276542,12014.8173946035,4218.86729752048,-6720.69807916918,16841.0602547221,3127.45559101628
matrix,ɪ,26879.7164840315,3878.86335840382,4619.05975628808,-1506.67481643493,21863.1830517553,11153.4287276542,72240.6497422278,16362.1696386725,21178.8085343808,3170.23957194188,23811.9809851139,3214.96391188877
matrix,ɪ,11264.9412368603,6281.12735733256,1647.75189144553,-1116.35954203584,10305.0496797375,12014.8173946035,16362.1696386725,35807.4325663401,4471.5535407414,6078.25647778249,6967.4289396746,4443.26099716562
matrix,ɪ,17366.9633539402,2686.41559354565,5091.89767223871,9351.45739504988,6739.21303590957,4218.86729752048,21178.8085343808,4471.5535407414,158424.462070659,11138.278739929,31627.6906733323,33649.8569754726
matrix,ɪ,3385.86470119996,5102.37447273863,1195.99469204961,1149.77028142924,795.101133751423,-6720.69807916918,3170.23957194188,6078.25647778249,11138.278739929,63658.2494550703,16368.5618132583,16496.6700589938
matrix,ɪ,36225.1102803877,7548.42793536724,31877.1822445898,9324.63674202692,36283.4802486219,16841.0602547221,23811.9809851139,6967.4289396746,31627.6906733323,16368.5618132583,145865.297505598,31665.6847627975
matrix,ɪ,5747.50596261001,5057.41457807932,746.718518683837,6629.19365277747,5414.0287901444,3127.45559101628,3214.96391188877,4443.26099716562,33649.8569754726,16496.6700589938,31665.6847627975,69994.4483079281
matrix,ɒ,19871.311665825,9156.87728158142,21374.1353798427,7916.89697713008,11036.253408845,4992.6160450184,6143.37742587115,5373.03452131881,17986.492424789,10564.8493975904,8604.04043719789,-2718.06954765168
matrix,ɒ,9156.87728158142,17709.9919197749,12927.2244426809,18318.3559267008,3178.83489647212,9157.91187504509,6811.01731476805,2270.12394488132,-2500.14649015223,30423.5602409639,3626.628995022,1062.51262535171
matrix,ɒ,21374.1353798427,12927.2244426809,94432.3671452276,24804.3300988385,11489.3321188947,-8.30405454151937,-5288.19093139023,6569.03892215569,61136.9125604213,21699.3614457831,32167.7013563235,-345.795721809393
matrix,ɒ,7916.89697713008,18318.3559267008,24804.3300988385,78253.0489142197,-3444.21520813794,21886.9463963639,6474.86036361013,-8520.33756583219,-1204.56727508838,41933.6626506024,4025.84434744968,11738.3553856143
matrix,ɒ,11036.253408845,3178.83489647212,11489.3321188947,-3444.21520813794,68696.2242983912,41193.933338143,-11191.4301998413,-16453.9739917755,10895.6976769353,3388.28915662651,-1564.54775990188,-5059.15128778587
matrix,ɒ,4992.6160450184,9157.91187504509,-8.30405454151937,21886.9463963639,41193.933338143,72587.624918837,-5704.92561864223,-14338.7995815598,-2213.07676213837,21025.6084337349,3508.43546641656,20145.6538850011
matrix,ɒ,6143.37742587115,6811.01731476805,-5288.19093139023,6474.86036361013,-11191.4301998413,-5704.92561864223,128548.344996753,36201.940083688,-12479.3780030301,19428.3734939759,16743.8208282231,4745.87656013275
matrix,ɒ,5373.03452131881,2270.12394488132,6569.03892215569,-8520.33756583219,-16453.9739917755,-14338.7995815598,36201.940083688,93090.4012697497,20587.4990981892,1542.69879518072,5330.45332227112,-6904.84276026261
matrix,ɒ,17986.492424789,-2500.14649015223,61136.9125604213,-1204.56727508838,10895.6976769353,-2213.07676213837,-12479.3780030301,20587.4990981892,291015.847197172,10133.0963855422,18943.7781545343,-8994.99513022148
matrix,ɒ,10564.8493975904,30423.5602409639,21699.3614457831,41933.6626506024,3388.28915662651,21025.6084337349,19428.3734939759,1542.69879518072,10133.0963855422,153315.277108434,15226.2228915663,26356.8012048193
matrix,ɒ,8604.04043719789,3626.628995022,32167.7013563235,4025.84434744968,-1564.54775990188,3508.43546641656,16743.8208282231,5330.45332227112,18943.7781545343,15226.2228915663,68527.4811341173,20847.3074814227
matrix,ɒ,-2718.06954765168,1062.51262535171,-345.795721809393,11738.3553856143,-5059.15128778587,20145.6538850011,4745.87656013275,-6904.84276026261,-8994.99513022148,26356.8012048193,20847.3074814227,83141.3906644542
matrix,i,6874.54250559284,2385.40089485459,-3799.77718120805,-4169.04742729307,-3641.66286353468,-3746.27494407159,7871.24832214765,2362.29642058166,4731.37919463087,2846.75615212528,-826.226174496644,2186.5158836689
matrix,i,2385.40089485459,5227.891901566,-6324.77261744966,-8728.77199105145,-5119.70138702461,-5669.45762863535,1586.70201342282,2966.81521252796,1602.78791946309,742.996420581655,-580.781744966443,-516.052706935123
matrix,i,-3799.77718120805,-6324.77261744966,44445.6391946309,37696.0719463087,36230.8636241611,24931.282147651,-5916.16912751678,-6450.74899328859,-15160.9785234899,-6570.03758389262,12037.5769127517,11432.1948993289
matrix,i,-4169.04742729307,-8728.77199105145,37696.0719463087,55041.969753915,34004.4655928412,31063.0835794183,-5024.38657718121,-6853.53780760626,-8253.18389261745,-9066.3029082774,8926.76429530201,16821.2334675615
matrix,i,-3641.66286353468,-5119.70138702461,36230.8636241611,34004.4655928412,57984.7825055928,27390.0410290828,-5715.40536912752,-6692.67807606264,-16909.510738255,-3.01700223713647,2001.9544966443,10544.9593736018
matrix,i,-3746.27494407159,-5669.45762863535,24931.282147651,31063.0835794183,27390.0410290828,48628.0313646532,-4165.20939597315,-5905.31834451902,-5658.42483221477,-18422.851901566,11470.0245637584,5279.64098434005
matrix,i,7871.24832214765,1586.70201342282,-5916.16912751678,-5024.38657718121,-5715.40536912752,-4165.20939597315,19962.4295302013,5542.03355704698,5068.12751677852,2108.54362416107,-5401.73691275168,450.387919463087
matrix,i,2362.29642058166,2966.81521252796,-6450.74899328859,-6853.53780760626,-6692.67807606264,-5905.31834451902,5542.03355704698,7021.6029082774,4658.30536912752,1975.2774049217,1191.8932885906,-1127.55883668904
matrix,i,4731.37919463087,1602.78791946309,-15160.9785234899,-8253.18389261745,-16909.510738255,-5658.42483221477,5068.12751677852,4658.30536912752,52524.8154362416,21817.1073825503,-6567.59530201342,1902.61879194631
matrix,i,2846.75615212528,742.996420581655,-6570.03758389262,-9066.3029082774,-3.01700223713647,-18422.851901566,2108.54362416107,1975.2774049217,21817.1073825503,59984.0089485459,2892.71543624161,6549.32035794183
matrix,i,-826.226174496644,-580.781744966443,12037.5769127517,8926.76429530201,2001.9544966443,11470.0245637584,-5401.73691275168,1191.8932885906,-6567.59530201342,2892.71543624161,110616.196912752,22534.6051006711
matrix,i,2186.5158836689,-516.052706935123,11432.1948993289,16821.2334675615,10544.9593736018,5279.64098434005,450.387919463087,-1127.55883668904,1902.61879194631,6549.32035794183,22534.6051006711,56725.9541834452
matrix,ʉː,39167.4652250146,31767.4313267095,10048.5724722385,18472.7799532437,27015.9888953828,33351.1899473992,22930.1309175921,7688.97019286967,25748.8825248393,1507.04850964348,1296.87083576856,11166.8743424898
matrix,ʉː,31767.4313267095,27830.9824663939,7959.16890707189,13220.0821157218,21551.390414962,28569.1031560491,19636.3345996493,6774.1332554062,21269.2036820573,-2015.61747516072,1031.18088836937,7173.83255406195
matrix,ʉː,10048.5724722385,7959.16890707189,92986.3372296902,98166.2784921099,34633.8918760958,29345.9275277615,10180.5151957919,4798.51285797779,13889.6683226184,21322.1592635885,25096.9120397428,9657.40444184687
matrix,ʉː,18472.7799532437,13220.0821157218,98166.2784921099,162890.046171829,43711.4658094682,48833.202805377,16884.7188778492,4355.34833430742,17969.1274108708,21916.8553477499,26108.9807130333,24758.4661016949
matrix,ʉː,27015.9888953828,21551.390414962,34633.8918760958,43711.4658094682,49003.5090590298,42080.4076563413,19419.9576271186,4091.17767387493,16502.898012858,8903.5675043834,8497.41934541204,13804.3457042665
matrix,ʉː,33351.1899473992,28569.1031560491,29345.9275277615,48833.202805377,42080.4076563413,61221.706604325,23357.5070134424,8431.6332554062,26292.3933372297,-2389.68644067797,8236.40502630041,17138.4532437171
matrix,ʉː,22930.1309175921,19636.3345996493,10180.5151957919,16884.7188778492,19419.9576271186,23357.5070134424,24670.9006428989,7658.1122150789,17521.7495616598,-7805.0081823495,2458.77936879018,2454.13939216832
matrix,ʉː,7688.97019286967,6774.1332554062,4798.51285797779,4355.34833430742,4091.17767387493,8431.6332554062,7658.1122150789,12119.4079485681,5643.3796025716,-2782.24167153711,-3500.29544126242,1480.63120981882
matrix,ʉː,25748.8825248393,21269.2036820573,13889.6683226184,17969.1274108708,16502.898012858,26292.3933372297,17521.7495616598,5643.3796025716,32143.3611922852,10767.2250146113,8966.67942723553,8262.0374050263
matrix,ʉː,1507.04850964348,-2015.61747516072,21322.1592635885,21916.8553477499,8903.5675043834,-2389.68644067797,-7805.0081823495,-2782.24167153711,10767.2250146113,100977.774985389,33386.7171244886,14219.8936294565
matrix,ʉː,1296.87083576856,1031.18088836937,25096.9120397428,26108.9807130333,8497.41934541204,8236.40502630041,2458.77936879018,-3500.29544126242,8966.67942723553,33386.7171244886,47644.357685564,6724.35593220339
matrix,ʉː,11166.8743424898,7173.83255406195,9657.40444184687,24758.4661016949,13804.3457042665,17138.4532437171,2454.13939216832,1480.63120981882,8262.0374050263,14219.8936294565,6724.35593220339,28596.0017533606
matrix,ow,18230.1131147541,6096.14316939891,-4327.01584699454,-1541.64043715847,11692.4355191257,8413.04453551913,2943.53934426229,14070.4472677596,11092.4644808743,-73.8967213114754,-2838.93415300546,544.000819672131
matrix,ow,6096.14316939891,17436.1907103825,-1929.4368852459,10518.5030054645,9558.41830601093,14387.362568306,4423.29617486339,2845.12295081967,2385.8150273224,5745.85245901639,-1347.59644808743,4112.8131147541
matrix,ow,-4327.01584699454,-1929.4368852459,43887.0677595628,42169.8683060109,-14191.1415300546,-26672.3628415301,5390.71912568306,1862.78524590164,3150.89153005464,2356.98770491803,-3390.78442622951,-5517.94890710383
matrix,ow,-1541.64043715847,10518.5030054645,42169.8683060109,76703.3857923497,-12946.962295082,-22665.4775956284,15364.9786885246,-448.272131147541,2749.6456284153,-10729.443442623,-6417.85163934426,-1030.94836065574
matrix,ow,11692.4355191257,9558.41830601093,-14191.1415300546,-12946.962295082,54415.2114754098,39863.0213114754,-4129.94344262295,-3249.00601092896,-519.078142076503,3326.68387978142,-5310.54180327869,3985.82513661202
matrix,ow,8413.04453551913,14387.362568306,-26672.3628415301,-22665.4775956284,39863.0213114754,62387.4967213115,-9171.94972677596,-457.768306010929,-1434.12131147541,918.281967213115,-3514.03715846995,9127.08715846995
matrix,ow,2943.53934426229,4423.29617486339,5390.71912568306,15364.9786885246,-4129.94344262295,-9171.94972677596,37442.1513661202,14051.2584699454,5678.74344262295,2242.39316939891,-6285.70245901639,-5957.79754098361
matrix,ow,14070.4472677596,2845.12295081967,1862.78524590164,-448.272131147541,-3249.00601092896,-457.768306010929,14051.2584699454,41422.6825136612,19869.7726775956,4013.87431693989,-7388.83524590164,-8796.81475409836
matrix,ow,11092.4644808743,2385.8150273224,3150.89153005464,2749.6456284153,-519.078142076503,-1434.12131147541,5678.74344262295,19869.7726775956,24929.1781420765,10086.4494535519,-2494.57486338798,-4385.97513661202
matrix,ow,-73.8967213114754,5745.85245901639,2356.98770491803,-10729.443442623,3326.68387978142,918.281967213115,2242.39316939891,4013.87431693989,10086.4494535519,59578.2174863388,-723.837704918033,-1474.12896174863
matrix,ow,-2838.93415300546,-1347.59644808743,-3390.78442622951,-6417.85163934426,-5310.54180327869,-3514.03715846995,-6285.70245901639,-7388.83524590164,-2494.57486338798,-723.837704918033,15414.0677595628,8632.06557377049
matrix,ow,544.000819672131,4112.8131147541,-5517.94890710383,-1030.94836065574,3985.82513661202,9127.08715846995,-5957.79754098361,-8796.81475409836,-4385.97513661202,-1474.12896174863,8632.06557377049,23524.0677595628
matrix,aw,18573.8945355191,-293.524043715847,3019.02923497268,-3555.18825136612,8540.65710382514,6065.64699453552,1270.96584699454,321.825409836066,3976.89836065574,1779.6825136612,-1197.00546448087,1611.65382513661
matrix,aw,-293.524043715847,20404.7142076503,10088.7486338798,10991.3650273224,3354.55792349727,9041.57677595628,4587.61639344262,-3840.57486338798,-2314.40054644809,19219.0663934426,-829.70737704918,-2467.79316939891
matrix,aw,3019.02923497268,10088.7486338798,22196.3677595628,14045.8879781421,7960.89699453552,10189.9019125683,-2649.0631147541,1313.78989071038,921.357103825137,10344.6702185792,-1225.38743169399,2069.94453551913
matrix,aw,-3555.18825136612,10991.3650273224,14045.8879781421,24549.5989071038,-1366.91693989071,10063.7456284153,-115.389071038251,-5094.15546448087,-190.294808743169,20374.0942622951,-3915.80491803279,-2086.23989071038
